id,parent_id,category,name,coordinates,rating,is_location,is_active
4623910000,4623900000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ РАДЕХІВСЬКОГО Р-НУ,,0,False,
4623910100,4623900000,М,РАДЕХІВ,,100,True,
4623910101,4623910100,С,КУТИ,,25,True,
4623955000,4623900000,,СЕЛИЩА МІСЬКОГО ТИПУ РАДЕХІВСЬКОГО Р-НУ,,0,False,
4623955400,4623900000,Т,ЛОПАТИН,,50,True,
4623980000,4623900000,,СІЛЬРАДИ РАДЕХІВСЬКОГО Р-НУ,,0,False,
4623980400,4623900000,,БАРИЛІВСЬКА,,0,False,
4623980401,4623980400,С,БАРИЛІВ,,25,True,
4623980600,4623900000,,БЕРЕЗІВСЬКА,,0,False,
4623980601,4623980600,С,БЕРЕЗІВКА,,25,True,
4623980602,4623980600,С,БЕБЕХИ,,25,True,
4623980603,4623980600,С,ГРИЦЕВОЛЯ,,25,True,
4623980604,4623980600,С,НОВОСТАВЦІ,,25,True,
